"filename","p1","p1w","p2w","p2","date","time"
"2021-02-14 16.31.41 [Online Round 2] @NNNxDario, xPoDxSilaneo.log","NNNxDario",1,0,"xPoDxSilaneo",2021-02-14,"16:31:41"
"2021-02-14 19.17.53 [Online] @chesnut, `Francis-Ngannou.log","chesnut",1,0,"`Francis-Ngannou",2021-02-14,"19:17:53"
"2021-02-14 19.42.06 [Online Round 1] @chesnut, oneVSone.log","chesnut",1,0,"oneVSone",2021-02-14,"19:42:06"
"2021-02-14 20.03.23 [Online Round 2] @chesnut, oneVSone.log","chesnut",1,0,"oneVSone",2021-02-14,"20:03:23"
"2021-02-14 20.22.23 [Online Round 1] @chesnut, AlucardinaD.log","chesnut",1,0,"AlucardinaD",2021-02-14,"20:22:23"
"2021-02-14 20.40.52 [Online Round 2] @chesnut, AlucardinaD.log","chesnut",1,0,"AlucardinaD",2021-02-14,"20:40:52"
"2021-02-16 18.21.12 [Online Round 1] @Veals, hmx.log","Veals",0.5,0.5,"hmx",2021-02-16,"18:21:12"
"2021-02-16 18.28.04 [Online Round 1] @NNNxDario, szpilman.log","NNNxDario",1,0,"szpilman",2021-02-16,"18:28:04"
"2021-02-16 18.42.17 [Online Round 2] @Veals, hmx.log","Veals",0,1,"hmx",2021-02-16,"18:42:17"
"2021-02-16 18.47.41 [Online Round 2] @NNNxDario, szpilman.log","NNNxDario",1,0,"szpilman",2021-02-16,"18:47:41"
"2021-02-16 19.01.57 [Online Round 1] @NNNxDario, Autistic-Guitar.log","NNNxDario",1,0,"Autistic-Guitar",2021-02-16,"19:01:57"
"2021-02-16 19.08.30 [Online Round 1] Veals, @`Pn`Mega`Adnan.log","Veals",1,0,"`Pn`Mega`Adnan",2021-02-16,"19:08:30"
"2021-02-16 19.11.03 [Online Round 2] @NNNxDario, Autistic-Guitar.log","NNNxDario",1,0,"Autistic-Guitar",2021-02-16,"19:11:03"
"2021-02-16 19.32.05 [Online Round 2] Veals, @`Pn`Mega`Adnan.log","Veals",0,1,"`Pn`Mega`Adnan",2021-02-16,"19:32:05"
"2021-02-16 19.32.28 [Online Round 1] @NNNxDario, oneVSone.log","NNNxDario",1,0,"oneVSone",2021-02-16,"19:32:28"
"2021-02-16 19.48.28 [Online Round 2] @NNNxDario, oneVSone.log","NNNxDario",1,0,"oneVSone",2021-02-16,"19:48:28"
"2021-02-16 19.55.39 [Online Round 3] Veals, @`Pn`Mega`Adnan.log","Veals",0,1,"`Pn`Mega`Adnan",2021-02-16,"19:55:39"
"2021-02-16 20.02.55 [Online Round 1] @NNNxDario, oneVSone.log","NNNxDario",1,0,"oneVSone",2021-02-16,"20:02:55"
"2021-02-16 20.15.49 [Online Round 2] @NNNxDario, oneVSone.log","NNNxDario",1,0,"oneVSone",2021-02-16,"20:15:49"
"2021-02-16 20.42.35 [Online Round 1] @Veals, rider.log","Veals",1,0,"rider",2021-02-16,"20:42:35"
"2021-02-16 20.57.03 [Online Round 2] @Veals, rider.log","Veals",1,0,"rider",2021-02-16,"20:57:03"
"2021-02-16 21.10.01 [Online Round 1] @Veals, rider.log","Veals",1,0,"rider",2021-02-16,"21:10:01"
"2021-02-16 21.26.03 [Online Round 2] @Veals, rider.log","Veals",0,1,"rider",2021-02-16,"21:26:03"
"2021-02-16 21.41.36 [Online Round 3] @Veals, rider.log","Veals",1,0,"rider",2021-02-16,"21:41:36"
"2021-02-17 19.05.15 [Online] @chesnut, hldd3n.log","chesnut",1,0,"hldd3n",2021-02-17,"19:05:15"
"2021-02-17 19.30.54 [Online Round 1] @chesnut, oneVSone.log","chesnut",1,0,"oneVSone",2021-02-17,"19:30:54"
"2021-02-17 19.42.52 [Online Round 2] @chesnut, oneVSone.log","chesnut",1,0,"oneVSone",2021-02-17,"19:42:52"
"2021-02-17 20.02.35 [Online Round 1] @chesnut, oneVSone.log","chesnut",1,0,"oneVSone",2021-02-17,"20:02:35"
"2021-02-17 20.20.40 [Online Round 2] @chesnut, oneVSone.log","chesnut",1,0,"oneVSone",2021-02-17,"20:20:40"
"2021-02-18 11.38.24 [Online Round 1] @Veals, Leonardos.log","Veals",1,0,"Leonardos",2021-02-18,"11:38:24"
"2021-02-18 11.59.00 [Online Round 2] @Veals, Leonardos.log","Veals",1,0,"Leonardos",2021-02-18,"11:59:00"
"2021-02-18 20.15.45 [Online Round 1] @NNNxDario, JaJoe`ZaR`.log","NNNxDario",1,0,"JaJoe`ZaR`",2021-02-18,"20:15:45"
"2021-02-18 20.31.24 [Online Round 2] @NNNxDario, JaJoe`ZaR`.log","NNNxDario",1,0,"JaJoe`ZaR`",2021-02-18,"20:31:24"
"2021-02-18 21.05.44 [Online Round 1] @Veals, pieer.log","Veals",1,0,"pieer",2021-02-18,"21:05:44"
"2021-02-18 21.22.36 [Online Round 2] @Veals, pieer.log","Veals",1,0,"pieer",2021-02-18,"21:22:36"
"2021-02-18 21.38.31 [Online Round 1] @Veals, pieer.log","Veals",1,0,"pieer",2021-02-18,"21:38:31"
"2021-02-18 21.58.38 [Online Round 2] @Veals, pieer.log","Veals",1,0,"pieer",2021-02-18,"21:58:38"
"2021-02-18_12.28.20_Online_Ledan_chichik.log","Ledan",1,0,"chichik",2021-02-18,"12:28:20"
"2021-02-19 00.12.24 [Online Round 1] @chesnut, tlocoselli.log","chesnut",1,0,"tlocoselli",2021-02-19,"00:12:24"
"2021-02-19 00.29.25 [Online Round 2] @chesnut, tlocoselli.log","chesnut",1,0,"tlocoselli",2021-02-19,"00:29:25"
"2021-02-19 16.08.49 [Online Round 1] @Veals, Vojske, MrPerdunok.log","Veals",1,0,"Vojske",2021-02-19,"16:08:49"
"2021-02-19 16.35.27 [Online Round 2] @Veals, Vojske, MrPerdunok.log","Veals",1,0,"Vojske",2021-02-19,"16:35:27"
